February  1, 1845
February  8, 1845
February 15, 1845
February 22, 1845
March  1, 1845
March  8, 1845
March 15, 1845
March 22, 1845
March 29, 1845
April  5, 1845
April 12, 1845
April 19, 1845
April 26, 1845
May  3, 1845
May 10, 1845
May 17, 1845
May 24, 1845
May 31, 1845
June  7, 1845
June 14, 1845
June 21, 1845
June 28, 1845
July 12, 1845
July 19, 1845
July 26, 1845
August  2, 1845
August  9, 1845
August 16, 1845
August 23, 1845
August 30, 1845
September  6, 1845
September 13, 1845
September 20, 1845
September 27, 1845
October  4, 1845
October 11, 1845
October 18, 1845
October 25, 1845
November  1, 1845
November  8, 1845
November 15, 1845
November 22, 1845
November 29, 1845
December  6, 1845
December 13, 1845
December 20, 1845
December 27, 1845
January  3, 1846
December 31, 1969